TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	REPORTING YEAR	TRADE SECRET INDICATOR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	TOTAL POTW TRANSFERS	BASIS OF ESTIMATE FOR POTWS	POTW A - NAME	POTW A - ADDRESS	POTW A - CITY	POTW A - STATE	POTW A - COUNTY	POTW A - ZIP	POTW B - NAME	POTW B - ADDRESS	POTW B - CITY	POTW B - STATE	POTW B - COUNTY	POTW B - ZIP	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	10-18-2012	
78945LCRFY6549P	1311209112717	N450	MANGANESE COMPOUNDS	TRI	Pounds																		2011	NO	LCRA FAYETTE POWER PROJECT	6549 POWER PLANT RD	LA GRANGE	FAYETTE	TX	78945	YES	NO	NO	NO								221112						29.899462	-96.756447	043226885								LOWER COLORADO RIVER AUTHORITY/CITYOFAUSTIN	043226885	0		NA												NO	JERRY.WHITE@LCRA.ORG			YES	 	
78945LCRFY6549P	1311209112681	007647010	HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY)	TRI	Pounds																		2011	NO	LCRA FAYETTE POWER PROJECT	6549 POWER PLANT RD	LA GRANGE	FAYETTE	TX	78945	YES	NO	NO	NO								221112						29.899462	-96.756447	043226885								LOWER COLORADO RIVER AUTHORITY/CITYOFAUSTIN	043226885	0		NA												NO	JERRY.WHITE@LCRA.ORG			NO	 	
78945LCRFY6549P	1311209112693	007664393	HYDROGEN FLUORIDE	TRI	Pounds																		2011	NO	LCRA FAYETTE POWER PROJECT	6549 POWER PLANT RD	LA GRANGE	FAYETTE	TX	78945	YES	NO	NO	NO								221112						29.899462	-96.756447	043226885								LOWER COLORADO RIVER AUTHORITY/CITYOFAUSTIN	043226885	0		NA												NO	JERRY.WHITE@LCRA.ORG			NO	 	
78945LCRFY6549P	1311209112705	N420	LEAD COMPOUNDS	PBT	Pounds																		2011	NO	LCRA FAYETTE POWER PROJECT	6549 POWER PLANT RD	LA GRANGE	FAYETTE	TX	78945	YES	NO	NO	NO								221112						29.899462	-96.756447	043226885								LOWER COLORADO RIVER AUTHORITY/CITYOFAUSTIN	043226885	0		NA												NO	JERRY.WHITE@LCRA.ORG			YES	 	
78945LCRFY6549P	1311209112731	N495	NICKEL COMPOUNDS	TRI	Pounds																		2011	NO	LCRA FAYETTE POWER PROJECT	6549 POWER PLANT RD	LA GRANGE	FAYETTE	TX	78945	YES	NO	NO	NO								221112						29.899462	-96.756447	043226885								LOWER COLORADO RIVER AUTHORITY/CITYOFAUSTIN	043226885	0		NA												NO	JERRY.WHITE@LCRA.ORG			YES	 	
78945LCRFY6549P	1311209112756	N760	THALLIUM COMPOUNDS	TRI	Pounds																		2011	NO	LCRA FAYETTE POWER PROJECT	6549 POWER PLANT RD	LA GRANGE	FAYETTE	TX	78945	YES	NO	NO	NO								221112						29.899462	-96.756447	043226885								LOWER COLORADO RIVER AUTHORITY/CITYOFAUSTIN	043226885	0		NA												NO	JERRY.WHITE@LCRA.ORG			YES	 	
78945LCRFY6549P	1311209112768	N770	VANADIUM COMPOUNDS	TRI	Pounds																		2011	NO	LCRA FAYETTE POWER PROJECT	6549 POWER PLANT RD	LA GRANGE	FAYETTE	TX	78945	YES	NO	NO	NO								221112						29.899462	-96.756447	043226885								LOWER COLORADO RIVER AUTHORITY/CITYOFAUSTIN	043226885	0		NA												NO	JERRY.WHITE@LCRA.ORG			YES	 	
78945LCRFY6549P	1311209112770	N982	ZINC COMPOUNDS	TRI	Pounds																		2011	NO	LCRA FAYETTE POWER PROJECT	6549 POWER PLANT RD	LA GRANGE	FAYETTE	TX	78945	YES	NO	NO	NO								221112						29.899462	-96.756447	043226885								LOWER COLORADO RIVER AUTHORITY/CITYOFAUSTIN	043226885	0		NA												NO	JERRY.WHITE@LCRA.ORG			YES	 	
76010LNSPP120FA	1311209142330	007440473	CHROMIUM	TRI	Pounds																		2011	NO	LANE SUPPLY INC	120 FAIRVIEW DR	ARLINGTON	TARRANT	TX	76010	YES	NO	NO	NO								332312						32.73697	-97.08548	071079854										0		NA												NO	NICK@LANESUPPLYINC.COM			YES	 	
76010LNSPP120FA	1311209142355	007440020	NICKEL	TRI	Pounds																		2011	NO	LANE SUPPLY INC	120 FAIRVIEW DR	ARLINGTON	TARRANT	TX	76010	YES	NO	NO	NO								332312						32.73697	-97.08548	071079854										0		NA												NO	NICK@LANESUPPLYINC.COM			YES	 	
76010LNSPP120FA	1311209142367	N982	ZINC COMPOUNDS	TRI	Pounds																		2011	NO	LANE SUPPLY INC	120 FAIRVIEW DR	ARLINGTON	TARRANT	TX	76010	YES	NO	NO	NO								332312						32.73697	-97.08548	071079854										0		NA												NO	NICK@LANESUPPLYINC.COM			YES	 	
76010LNSPP120FA	1311209142342	007439965	MANGANESE	TRI	Pounds																		2011	NO	LANE SUPPLY INC	120 FAIRVIEW DR	ARLINGTON	TARRANT	TX	76010	YES	NO	NO	NO								332312						32.73697	-97.08548	071079854										0		NA												NO	NICK@LANESUPPLYINC.COM			YES	 	
77073HBSSN1413R	1311209134372	000100425	STYRENE	TRI	Pounds																		2011	NO	HOBAS PIPE USA LP	1413 RICHEY RD	HOUSTON	HARRIS	TX	77073	YES	NO	NO	NO								326122						29.99744	-95.38429	154078189										0		NA												NO	RGIBBONS@HOBASPIPE.COM			NO	 	
76031SCHMN2311P	1311209135995	000075003	CHLOROETHANE	TRI	Pounds																		2011	NO	SACHEM INC	2311 PIPELINE RD	CLEBURNE	JOHNSON	TX	76033	YES	NO	NO	NO								325199						32.38822	-97.3979	606852036								SACHEM INC		2	M2	CITY OF CLEBURNE POTW	PARK BLVD.	CLEBURNE	TX	JOHNSON	76033							NO	LHUNT@SACHEMINC.COM			NO	 	
76031SCHMN2311P	1311209135971	000075058	ACETONITRILE	TRI	Pounds																		2011	NO	SACHEM INC	2311 PIPELINE RD	CLEBURNE	JOHNSON	TX	76033	YES	NO	NO	NO								325199						32.38822	-97.3979	606852036								SACHEM INC		0	O 	CITY OF CLEBURNE POTW	PARK BLVD.	CLEBURNE	TX	JOHNSON	76033							NO	LHUNT@SACHEMINC.COM			NO	 	
76031SCHMN2311P	1311209135983	007782505	CHLORINE	TRI	Pounds																		2011	NO	SACHEM INC	2311 PIPELINE RD	CLEBURNE	JOHNSON	TX	76033	YES	NO	NO	NO								325199						32.38822	-97.3979	606852036								SACHEM INC		0		NA												NO	LHUNT@SACHEMINC.COM			NO	 	
76031SCHMN2311P	1311209136009	000074873	CHLOROMETHANE	TRI	Pounds																		2011	NO	SACHEM INC	2311 PIPELINE RD	CLEBURNE	JOHNSON	TX	76033	YES	NO	NO	NO								325199						32.38822	-97.3979	606852036								SACHEM INC		2	M2	CITY OF CLEBURNE POTW	PARK BLVD.	CLEBURNE	TX	JOHNSON	76033							NO	LHUNT@SACHEMINC.COM			NO	 	
76031SCHMN2311P	1311209136023	000121448	TRIETHYLAMINE	TRI	Pounds																		2011	NO	SACHEM INC	2311 PIPELINE RD	CLEBURNE	JOHNSON	TX	76033	YES	NO	NO	NO								325199						32.38822	-97.3979	606852036								SACHEM INC		0	M2	CITY OF CLEBURNE POTW	PARK BLVD.	CLEBURNE	TX	JOHNSON	76033							NO	LHUNT@SACHEMINC.COM			NO	 	
76667CRRYN931IN	1311209136910	007440473	CHROMIUM	TRI	Pounds																		2011	NO	CARRY-ON TRAILER CORP	931 INDUSTRIAL BLVD	MEXIA	LIMESTONE	TX	76667	YES	NO	NO	NO								336212						31.698256	-96.487092									CARRY-ON TRAILER CORP		0		NA												NO	ROB.MCDEVITT@CARRY-ONTRAILER.COM			YES	 	
76667CRRYN931IN	1311209136922	007439921	LEAD	TRI	Pounds																		2011	NO	CARRY-ON TRAILER CORP	931 INDUSTRIAL BLVD	MEXIA	LIMESTONE	TX	76667	YES	NO	NO	NO								336212						31.698256	-96.487092									CARRY-ON TRAILER CORP		0		NA												NO	ROB.MCDEVITT@CARRY-ONTRAILER.COM			YES	 	
76667CRRYN931IN	1311209136934	007439965	MANGANESE	TRI	Pounds																		2011	NO	CARRY-ON TRAILER CORP	931 INDUSTRIAL BLVD	MEXIA	LIMESTONE	TX	76667	YES	NO	NO	NO								336212						31.698256	-96.487092									CARRY-ON TRAILER CORP		0		NA												NO	ROB.MCDEVITT@CARRY-ONTRAILER.COM			YES	 	
76179CRGLL401EI	1311209137722	002699798	SULFURYL FLUORIDE	TRI	Pounds																		2011	NO	HORIZON MILLING LLC	401 E INDUSTRIAL DR	SAGINAW	TARRANT	TX	76179	YES	NO	NO	NO								311211						32.8475	-97.361944	062284278								CARGILL INC	006249189	0		NA												NO	JON_COZAD@CARGILL.COM			NO	 	
79924RCKWL9566R	1311209113000	007439921	LEAD	TRI	Pounds																		2011	NO	BOEING CO	9566 RAILROAD DR	EL PASO	EL PASO	TX	79924	YES	NO	NO	NO								334418						31.88347	-106.40057	071387187								THE BOEING CO	071387187	.131	M2	EL PASO WATER UTILITIES	PO BOX 511	EL PASO	TX	EL PASO	79961							NO	JOEL.M.NELSON@BOEING.COM			YES	 	
75160MDXNC201SK	1311209113289	000095636	1,2,4-TRIMETHYLBENZENE	TRI	Pounds																		2011	NO	MADIX INC SKYLINE FACILITY	201 SKYLINE DR	TERRELL	KAUFMAN	TX	75160	YES	NO	NO	NO								337127						32.709732	-96.26258	007318926								MADIX INC		0		NA												NO	JSAUNDERS@MADIXINC.COM			NO	 	
77705SRTMR11455	1311209113404	000107051	ALLYL CHLORIDE	TRI	Pounds																		2011	NO	CRAY VALLEY BEAUMONT TX	11455 INTERSTATE HWY 10	BEAUMONT	JEFFERSON	TX	77705	YES	NO	NO	NO								325211						29.979844	-94.215451	361555725								TOTAL HOLDINGS USA INC	037810702	0		NA												NO	MOHAMMED.DEKIOUK@CRAYVALLEYUS.COM			NO	 	
77705SRTMR11455	1311209113416	007637072	BORON TRIFLUORIDE	TRI	Pounds																		2011	NO	CRAY VALLEY BEAUMONT TX	11455 INTERSTATE HWY 10	BEAUMONT	JEFFERSON	TX	77705	YES	NO	NO	NO								325211						29.979844	-94.215451	361555725								TOTAL HOLDINGS USA INC	037810702	0		NA												NO	MOHAMMED.DEKIOUK@CRAYVALLEYUS.COM			YES	 	
7603WCSTLC4725N	1311209114661	000111422	DIETHANOLAMINE	TRI	Pounds																		2011	NO	COASTAL CHEMICAL  CO LLC	4725 N HWY 171	CLEBURNE	JOHNSON	TX	76033	YES	NO	NO	NO								424690						32.417051	-97.457714	183288778								BRENNTAG NA INC		0		NA												NO	DLEAHEY@BRENNTAG.COM			NO	 	
7603WCSTLC4725N	1311209114685	000107211	ETHYLENE GLYCOL	TRI	Pounds																		2011	NO	COASTAL CHEMICAL  CO LLC	4725 N HWY 171	CLEBURNE	JOHNSON	TX	76033	YES	NO	NO	NO								424690						32.417051	-97.457714	183288778								BRENNTAG NA INC		0		NA												NO	DLEAHEY@BRENNTAG.COM			NO	 	
7603WCSTLC4725N	1311209114709	000067561	METHANOL	TRI	Pounds																		2011	NO	COASTAL CHEMICAL  CO LLC	4725 N HWY 171	CLEBURNE	JOHNSON	TX	76033	YES	NO	NO	NO								424690						32.417051	-97.457714	183288778								BRENNTAG NA INC		0		NA												NO	DLEAHEY@BRENNTAG.COM			NO	 	
7780WCSTLC1613G	1311209114812	000111422	DIETHANOLAMINE	TRI	Pounds																		2011	NO	COASTAL CHEMICAL CO LLC	1613 GOOSENECK	BRYAN	BRAZOS	TX	77808	YES	NO	NO	NO								424690						30.7047	-96.35399									BRENNTAG NA INC	183288778	0		NA												NO	DLEAHEY@BRENNTAG.COM			NO	 	
7780WCSTLC1613G	1311209114824	000107211	ETHYLENE GLYCOL	TRI	Pounds																		2011	NO	COASTAL CHEMICAL CO LLC	1613 GOOSENECK	BRYAN	BRAZOS	TX	77808	YES	NO	NO	NO								424690						30.7047	-96.35399									BRENNTAG NA INC	183288778	0		NA												NO	DLEAHEY@BRENNTAG.COM			NO	 	
7780WCSTLC1613G	1311209114836	000067561	METHANOL	TRI	Pounds																		2011	NO	COASTAL CHEMICAL CO LLC	1613 GOOSENECK	BRYAN	BRAZOS	TX	77808	YES	NO	NO	NO								424690						30.7047	-96.35399									BRENNTAG NA INC	183288778	0		NA												NO	DLEAHEY@BRENNTAG.COM			NO	 	
76950DDNSW1505W	1311209102704	000107211	ETHYLENE GLYCOL	TRI	Pounds																		2011	NO	UNITED FUEL & ENERGY CORP	1505 W CROCKETT	SONORA	SUTTON	TX	76950	YES	NO	NO	NO								424710						30.560204	-100.639235	026840553								UNITED FUEL & ENERGY CORP		0		NA												NO	TORREZI@SCFUELS.COM			NO	 	
76950DDNSW1505W	1311209102692	000071432	BENZENE	TRI	Pounds																		2011	NO	UNITED FUEL & ENERGY CORP	1505 W CROCKETT	SONORA	SUTTON	TX	76950	YES	NO	NO	NO								424710						30.560204	-100.639235	026840553								UNITED FUEL & ENERGY CORP		0		NA												NO	TORREZI@SCFUELS.COM			NO	 	
76950DDNSW1505W	1311209102716	000067561	METHANOL	TRI	Pounds																		2011	NO	UNITED FUEL & ENERGY CORP	1505 W CROCKETT	SONORA	SUTTON	TX	76950	YES	NO	NO	NO								424710						30.560204	-100.639235	026840553								UNITED FUEL & ENERGY CORP		0		NA												NO	TORREZI@SCFUELS.COM			NO	 	
76950DDNSW1505W	1311209102728	000108883	TOLUENE	TRI	Pounds																		2011	NO	UNITED FUEL & ENERGY CORP	1505 W CROCKETT	SONORA	SUTTON	TX	76950	YES	NO	NO	NO								424710						30.560204	-100.639235	026840553								UNITED FUEL & ENERGY CORP		0		NA												NO	TORREZI@SCFUELS.COM			NO	 	
76950DDNSW1505W	1311209102730	001330207	XYLENE (MIXED ISOMERS)	TRI	Pounds																		2011	NO	UNITED FUEL & ENERGY CORP	1505 W CROCKETT	SONORA	SUTTON	TX	76950	YES	NO	NO	NO								424710						30.560204	-100.639235	026840553								UNITED FUEL & ENERGY CORP		0		NA												NO	TORREZI@SCFUELS.COM			NO	 	
77449GLPRD30603	1311209105055	N120	DIISOCYANATES	TRI	Pounds																		2011	NO	IGLOO PRODUCTS CORP	30603 KATY BROOKSHIRE RD	KATY	WALLER	TX	77494	YES	NO	NO	NO								326150						29.786611	-95.900222	062118427								I PRODUCTS CORP	062118427	0		NA												NO				NO	 	
77041RRWMR5855C	1311208952679	000100425	STYRENE	TRI	Pounds																		2011	NO	ARROW MARBLE LLC	5855 CUNNINGHAM RD	HOUSTON	HARRIS	TX	77041	YES	NO	NO	NO								325991						29.85352	-95.58149											0		NA												NO	JKINSELLA@ARROW-COMPANIES.COM			NO	 	
77041RRWMR5855C	1311208952667	000080626	METHYL METHACRYLATE	TRI	Pounds																		2011	NO	ARROW MARBLE LLC	5855 CUNNINGHAM RD	HOUSTON	HARRIS	TX	77041	YES	NO	NO	NO								325991						29.85352	-95.58149											0		NA												NO	JKINSELLA@ARROW-COMPANIES.COM			NO	 	
77701CRGLL220AV	1311208956363	N420	LEAD COMPOUNDS	PBT	Pounds																		2011	NO	GERDAU AMERISTEEL US INC - BEAUMONT WIRE OPERATIONS	220 AVE A	BEAUMONT	JEFFERSON	TX	77701	YES	NO	NO	NO								331222						30.077778	-94.109722	004093456								GERDAU GROUP	004093456	0		NA												NO	BRUNO.LIOI@GERDAU.COM			YES	 	
76106VLKSW4401B	1311208974446	007440473	CHROMIUM	TRI	Pounds																		2011	NO	TRAULSEN & CO	4401 BLUE MOUND RD	FORT WORTH	TARRANT	TX	76106	YES	NO	NO	NO								333415						32.82276	-97.3428	044006471								PMI FOOD EQUIPMENT GROUP	001533082	0		NA												NO	RMORGAN@TRAULSEN.COM			YES	 	
76106VLKSW4401B	1311208974459	007440508	COPPER	TRI	Pounds																		2011	NO	TRAULSEN & CO	4401 BLUE MOUND RD	FORT WORTH	TARRANT	TX	76106	YES	NO	NO	NO								333415						32.82276	-97.3428	044006471								PMI FOOD EQUIPMENT GROUP	001533082	0		NA												NO	RMORGAN@TRAULSEN.COM			YES	 	
76106VLKSW4401B	1311208974461	N120	DIISOCYANATES	TRI	Pounds																		2011	NO	TRAULSEN & CO	4401 BLUE MOUND RD	FORT WORTH	TARRANT	TX	76106	YES	NO	NO	NO								333415						32.82276	-97.3428	044006471								PMI FOOD EQUIPMENT GROUP	001533082	0		NA												NO	RMORGAN@TRAULSEN.COM			NO	 	
76106VLKSW4401B	1311208974473	007439921	LEAD	TRI	Pounds																		2011	NO	TRAULSEN & CO	4401 BLUE MOUND RD	FORT WORTH	TARRANT	TX	76106	YES	NO	NO	NO								333415						32.82276	-97.3428	044006471								PMI FOOD EQUIPMENT GROUP	001533082	0		NA												NO	RMORGAN@TRAULSEN.COM			YES	 	
76106VLKSW4401B	1311208974485	007439965	MANGANESE	TRI	Pounds																		2011	NO	TRAULSEN & CO	4401 BLUE MOUND RD	FORT WORTH	TARRANT	TX	76106	YES	NO	NO	NO								333415						32.82276	-97.3428	044006471								PMI FOOD EQUIPMENT GROUP	001533082	0		NA												NO	RMORGAN@TRAULSEN.COM			YES	 	
76106VLKSW4401B	1311208974497	007440020	NICKEL	TRI	Pounds																		2011	NO	TRAULSEN & CO	4401 BLUE MOUND RD	FORT WORTH	TARRANT	TX	76106	YES	NO	NO	NO								333415						32.82276	-97.3428	044006471								PMI FOOD EQUIPMENT GROUP	001533082	0		NA												NO	RMORGAN@TRAULSEN.COM			YES	 	
77008NRTHW6307T	1311208985059	007439965	MANGANESE	TRI	Pounds																		2011	NO	NORTHWEST PIPE CO	6307 TOLEDO	HOUSTON	HARRIS	TX	77008	YES	NO	NO	NO								331210						29.78594	-95.42803	008072779								NORTHWEST PIPE CO	008071779	0		NA												NO				YES	 	
77065DNLVL19191	1311208986303	007439965	MANGANESE	TRI	Pounds																		2011	NO	SPX PROCESS EQUIPMENT	19191 NW FWY	HOUSTON	HARRIS	TX	77065	YES	NO	NO	NO								332911						29.908003	-95.609933	008083362								SPX CORP		0		NA												NO	STEVEN.GEE@SPX.COM			YES	 	
77065DNLVL19191	1311208986291	007440473	CHROMIUM	TRI	Pounds																		2011	NO	SPX PROCESS EQUIPMENT	19191 NW FWY	HOUSTON	HARRIS	TX	77065	YES	NO	NO	NO								332911						29.908003	-95.609933	008083362								SPX CORP		0		NA												NO	STEVEN.GEE@SPX.COM			YES	 	
77065DNLVL19191	1311208986315	007440020	NICKEL	TRI	Pounds																		2011	NO	SPX PROCESS EQUIPMENT	19191 NW FWY	HOUSTON	HARRIS	TX	77065	YES	NO	NO	NO								332911						29.908003	-95.609933	008083362								SPX CORP		0		NA												NO	STEVEN.GEE@SPX.COM			YES	 	
76044WNLTL121CU	1311208987230	007439921	LEAD	TRI	Pounds																		2011	NO	OWEN OIL TOOLS LP	12001 COUNTY RD 1000	GODLEY	JOHNSON	TX	76044	YES	NO	NO	NO								325920						32.49952	-97.57704	107051823								CORE LABORATORIES LP	878203033	0		NA												NO	DAVID.ONEAL@CORELAB.COM			YES	 	
7550WFDRLC41LEP	1311208987646	007439921	LEAD	TRI	Pounds																		2011	NO	FEDERAL CORRECTIONAL INSTITUTION	4001 LEOPARD DR	TEXARKANA	BOWIE	TX	75501	YES	NO	YES	NO								922140						33.378095	-94.092065									US DEPARTMENT OF JUSTICE		0		NA												YES	MBARNES@BOP.GOV			YES	 	
76118TCRBB7101G	1311208988220	N010	ANTIMONY COMPOUNDS	TRI	Pounds																		2011	NO	ATCO RUBBER PRODUCTS INC	7101 ATCO DR	FORT WORTH	TARRANT	TX	76118	YES	NO	NO	NO								326130	325910	332322	322211			32.7912	-97.2271	006022271								ATCO RUBBER PRODUCTS INC		0		NA												NO	SBARNES@ATCOFLEX.COM			YES	 	
76118TCRBB7101G	1311208988232	001163195	DECABROMODIPHENYL OXIDE	TRI	Pounds																		2011	NO	ATCO RUBBER PRODUCTS INC	7101 ATCO DR	FORT WORTH	TARRANT	TX	76118	YES	NO	NO	NO								326130	325910	332322	322211			32.7912	-97.2271	006022271								ATCO RUBBER PRODUCTS INC		0		NA												NO	SBARNES@ATCOFLEX.COM			NO	 	
76118TCRBB7101G	1311208988257	N420	LEAD COMPOUNDS	PBT	Pounds																		2011	NO	ATCO RUBBER PRODUCTS INC	7101 ATCO DR	FORT WORTH	TARRANT	TX	76118	YES	NO	NO	NO								326130	325910	332322	322211			32.7912	-97.2271	006022271								ATCO RUBBER PRODUCTS INC		0		NA												NO	SBARNES@ATCOFLEX.COM			YES	 	
