TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	REPORTING YEAR	TRADE SECRET INDICATOR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	FACILITY BIA CODE	FACILITY BIA NAME	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	TOTAL POTW TRANSFERS	BASIS OF ESTIMATE FOR POTWS	POTW A - NAME	POTW A - ADDRESS	POTW A - CITY	POTW A - STATE	POTW A - COUNTY	POTW A - ZIP	POTW B - NAME	POTW B - ADDRESS	POTW B - CITY	POTW B - STATE	POTW B - COUNTY	POTW B - ZIP	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	10/3/2014	
91730SPRCT11200	1313211002047	000071363	N-BUTYL ALCOHOL	TRI	Pounds																		2013	NO	STEELSCAPE LLC	11200 ARROW RT	RANCHO CUCAMONGA	SAN BERNARDINO	CA	917300000			YES	NO	NO	NO								332812						34.09918	-117.56077	062527739								STEELSCAPE LLC		0		NA												NO	MIKE.NELSON@STEELSCAPE.COM			NO	 	
91730SPRCT11200	1313211002050	000091203	NAPHTHALENE	TRI	Pounds																		2013	NO	STEELSCAPE LLC	11200 ARROW RT	RANCHO CUCAMONGA	SAN BERNARDINO	CA	917300000			YES	NO	NO	NO								332812						34.09918	-117.56077	062527739								STEELSCAPE LLC		0		NA												NO	MIKE.NELSON@STEELSCAPE.COM			NO	 	
91730SPRCT11200	1313211002062	000108883	TOLUENE	TRI	Pounds																		2013	NO	STEELSCAPE LLC	11200 ARROW RT	RANCHO CUCAMONGA	SAN BERNARDINO	CA	917300000			YES	NO	NO	NO								332812						34.09918	-117.56077	062527739								STEELSCAPE LLC		0		NA												NO	MIKE.NELSON@STEELSCAPE.COM			NO	 	
91730SPRCT11200	1313211002074	001330207	XYLENE (MIXED ISOMERS)	TRI	Pounds																		2013	NO	STEELSCAPE LLC	11200 ARROW RT	RANCHO CUCAMONGA	SAN BERNARDINO	CA	917300000			YES	NO	NO	NO								332812						34.09918	-117.56077	062527739								STEELSCAPE LLC		0		NA												NO	MIKE.NELSON@STEELSCAPE.COM			NO	 	
9212WNTGRT6828N	1313211002124	000075058	ACETONITRILE	TRI	Pounds																		2013	NO	INTEGRATED DNA TECHNOLOGIES	6828 NANCY RIDGE DRIVE, SUITE #400	SAN DIEGO	SAN DIEGO	CA	92121			YES	NO	NO	NO								325199						32.8858	-117.17567	621339584										0		NA												NO	SESQUIG@IDTDNA.COM			NO	 	
9212WNTGRT6828N	1313211002136	000108883	TOLUENE	TRI	Pounds																		2013	NO	INTEGRATED DNA TECHNOLOGIES	6828 NANCY RIDGE DRIVE, SUITE #400	SAN DIEGO	SAN DIEGO	CA	92121			YES	NO	NO	NO								325199						32.8858	-117.17567	621339584										0		NA												NO	SESQUIG@IDTDNA.COM			NO	 	
94089NFNRC1322B	1313211002732	000872504	N-METHYL-2-PYRROLIDONE	TRI	Pounds																		2013	NO	INFINERA CORP	1322 BORDEAUX DR	SUNNYVALE	SANTA CLARA	CA	94089			YES	NO	NO	NO								334413						37.4142	-122.02168	021331686										0		NA												NO	MGOTHBERG@INFINERA.COM			NO	 	
90039GLYNN4578B	1313211002959	000067561	METHANOL	TRI	Pounds																		2013	NO	AG LAYNE INC	4578 BRAZIL ST	LOS ANGELES	LOS ANGELES	CA	90039			YES	NO	NO	NO								424690						34.14683	-118.27534	028541696										0		NA												NO	MIKE@AGLAYNE.COM			NO	 	
90039GLYNN4578B	1313211002961	000108883	TOLUENE	TRI	Pounds																		2013	NO	AG LAYNE INC	4578 BRAZIL ST	LOS ANGELES	LOS ANGELES	CA	90039			YES	NO	NO	NO								424690						34.14683	-118.27534	028541696										0		NA												NO	MIKE@AGLAYNE.COM			NO	 	
90039GLYNN4578B	1313211002973	001330207	XYLENE (MIXED ISOMERS)	TRI	Pounds																		2013	NO	AG LAYNE INC	4578 BRAZIL ST	LOS ANGELES	LOS ANGELES	CA	90039			YES	NO	NO	NO								424690						34.14683	-118.27534	028541696										0		NA												NO	MIKE@AGLAYNE.COM			NO	 	
94606RMCPC33323	1313211003304	N420	LEAD COMPOUNDS	PBT	Pounds																		2013	NO	CEMEX OAKLAND	333 23RD AVE	OAKLAND	ALAMEDA	CA	94606			YES	NO	NO	NO								327320						37.77276	-122.23583									CEMEX INC	189840945	0		NA												NO	ROBERTA.ALDENHUYSEN@CEMEX.COM			YES	 	
94606RMCPC33323	1313211003316	N511	NITRATE COMPOUNDS	TRI	Pounds																		2013	NO	CEMEX OAKLAND	333 23RD AVE	OAKLAND	ALAMEDA	CA	94606			YES	NO	NO	NO								327320						37.77276	-122.23583									CEMEX INC	189840945	0		NA												NO	ROBERTA.ALDENHUYSEN@CEMEX.COM			NO	 	
9456WCMXPL1544S	1313211003328	N420	LEAD COMPOUNDS	PBT	Pounds																		2013	NO	CEMEX PLEASANTON READY-MIX	1544 STANLEY BLVD UNIT B	PLEASANTON	ALAMEDA	CA	94566			YES	NO	NO	NO								327320						37.67335	-121.83019									CEMEX INC	189840945	0		NA												NO	ROBERTA.ALDENHUYSEN@CEMEX.COM			YES	 	
94520RMCPC3951L	1313211003330	N420	LEAD COMPOUNDS	PBT	Pounds																		2013	NO	CEMEX CONCORD	3951 LAURA ALICE WAY	CONCORD	CONTRA COSTA	CA	94520			YES	NO	NO	NO								327320						38.0055	-122.04754									CEMEX INC	189840945	0		NA												NO				YES	 	
94124SNFRN5AMAD	1313211003342	N420	LEAD COMPOUNDS	PBT	Pounds																		2013	NO	SAN FRANCISCO (A)	500 AMADOR ST	SAN FRANCISCO	SAN FRANCISCO	CA	941241250			YES	NO	NO	NO								327320						37.745855	-122.384367									CEMEX INC	189840945	0		NA												NO	ROBERTA.ALDENHUYSEN@CEMEX.COM			YES	 	
9453WCMXCN161CE	1313211003355	N420	LEAD COMPOUNDS	PBT	Pounds																		2013	NO	CEMEX CONSTRUCTION MATERIALS PACIFIC LLC	1601 CEMENT HILL RD	FAIRFIELD	SOLANO	CA	94533			YES	NO	NO	NO								327320						38.28262	-121.99716									CEMEX INC	189840945	0		NA												NO	ROBERTA.ALDENHUYSEN@CEMEX.COM			YES	 	
94124SNFRN5AMAD	1313211003367	N511	NITRATE COMPOUNDS	TRI	Pounds																		2013	NO	SAN FRANCISCO (A)	500 AMADOR ST	SAN FRANCISCO	SAN FRANCISCO	CA	941241250			YES	NO	NO	NO								327320						37.745855	-122.384367									CEMEX INC	189840945	0		NA												NO	ROBERTA.ALDENHUYSEN@CEMEX.COM			NO	 	
9458WCMXCN9WHIP	1313211003379	N420	LEAD COMPOUNDS	PBT	Pounds																		2013	NO	CEMEX CONSTRUCTION MATERIALS PACIFIC LLC - UNION CITY PLANT	900 WHIPPLE RD	UNION CITY	ALAMEDA	CA	945871347			YES	NO	NO	NO								327320						37.60597	-122.03021									CEMEX	189840945	0		NA												NO	ROBERTA.ALDENHUYSEN@CEMEX.COM			YES	 	
95125RMCPC25STN	1313211003381	N420	LEAD COMPOUNDS	PBT	Pounds																		2013	NO	CEMEX SAN JOSE	2005 STONE AVE	SAN JOSE	SANTA CLARA	CA	95125			YES	NO	NO	NO								327320						37.30104	-121.87173									CEMEX	189840945	0	M2	SAN JOSE/SANTA CLARA WATER POLLUTION CONTROL PLANT	700 LOS ESTEROS	SAN JOSE	CA	SANTA CLARA	951341001							NO	ROBERTA.ALDENHUYSEN@CEMEX.COM			YES	 	
95054RMCPC1555R	1313211003393	N420	LEAD COMPOUNDS	PBT	Pounds																		2013	NO	CEMEX SANTA CLARA	1555 RUSSELL AVE	SANTA CLARA	SANTA CLARA	CA	95054			YES	NO	NO	NO								327320						37.38735	-121.95689									CEMEX INC	189840945	0	M2	SAN JOSE/SANTA CLARA WATER POLLUTION CONTROL PLANT	700 LOS ESTEROS	SAN JOSE	CA	SANTA CLARA	95134							NO	ROBERTA.ALDENHUYSEN@CEMEX.COM			YES	 	
9520WHJBKRPBX28	1313211003506	007783064	HYDROGEN SULFIDE	TRI	Pounds																		2013	NO	HJ BAKER & BRO INC	65 STORK RD	STOCKTON	SAN JOAQUIN	CA	95203			YES	NO	NO	NO								325180						37.945804	-121.33333	006980635								H.J. BAKER & BRO. INC.	006980635	0		NA												NO	RVALAGENE@BAKERBRO.COM			NO	 	
91201TMTNP927TH	1313211003583	007697372	NITRIC ACID	TRI	Pounds																		2013	NO	AUTOMATION PLATING CORP	927 THOMPSON AVE	GLENDALE	LOS ANGELES	CA	91201			YES	NO	NO	NO								332813						34.16956	-118.29475	008342784										0	M1	LA GLENDALE WATER RECLAMATION PLANT	4600 COLORADO BLVD	LOS ANGELES	CA	LOS ANGELES	90039							NO	BILLWIGGINS@APCZINC.COM			NO	 	
9569WCMXCN189PA	1313211003672	N420	LEAD COMPOUNDS	PBT	Pounds																		2013	NO	CEMEX CONSTRUCTION MATERIALS PACIFIC LLC	1890 PKWY BLVD	WEST SACRAMENTO	YOLO	CA	95691			YES	NO	NO	NO								327320						38.563169	-121.560137									CEMEX	189840945	0		NA												NO	ROBERTA.ALDENHUYSEN@CEMEX.COM			YES	 	
92427SNBRN5454N	1313211070331	007440473	CHROMIUM	TRI	Pounds																		2013	NO	SAN BERNARDINO STEEL	5454 N INDUSTRIAL PKWY	SAN BERNARDINO	SAN BERNARDINO	CA	924071859			YES	NO	NO	NO								332312						34.17929	-117.35144	009137126								THE HERRICK CORP	009137126	0		NA												NO	TOMD@HERRICKSTEEL.COM			YES	 	
95208STCKT3003E	1313211070343	007440473	CHROMIUM	TRI	Pounds																		2013	NO	STOCKTON STEEL	3003 E HAMMER LN	STOCKTON	SAN JOAQUIN	CA	952122801			YES	NO	NO	NO								332312						38.0212	-121.27749	187946611								THE HERRICK CORP	009137126	0		NA												NO	TOMD@HERRICKSTEEL.COM			YES	 	
95208STCKT3003E	1313211070370	007440508	COPPER	TRI	Pounds																		2013	NO	STOCKTON STEEL	3003 E HAMMER LN	STOCKTON	SAN JOAQUIN	CA	952122801			YES	NO	NO	NO								332312						38.0212	-121.27749	187946611								THE HERRICK CORP	009137126	0		NA												NO	TOMD@HERRICKSTEEL.COM			YES	 	
92427SNBRN5454N	1313211070418	007440508	COPPER	TRI	Pounds																		2013	NO	SAN BERNARDINO STEEL	5454 N INDUSTRIAL PKWY	SAN BERNARDINO	SAN BERNARDINO	CA	924071859			YES	NO	NO	NO								332312						34.17929	-117.35144	009137126								THE HERRICK CORP	009137126	0		NA												NO	TOMD@HERRICKSTEEL.COM			YES	 	
95208STCKT3003E	1313211070444	007439965	MANGANESE	TRI	Pounds																		2013	NO	STOCKTON STEEL	3003 E HAMMER LN	STOCKTON	SAN JOAQUIN	CA	952122801			YES	NO	NO	NO								332312						38.0212	-121.27749	187946611								THE HERRICK CORP	009137126	0		NA												NO	TOMD@HERRICKSTEEL.COM			YES	 	
92427SNBRN5454N	1313211070471	007439965	MANGANESE	TRI	Pounds																		2013	NO	SAN BERNARDINO STEEL	5454 N INDUSTRIAL PKWY	SAN BERNARDINO	SAN BERNARDINO	CA	924071859			YES	NO	NO	NO								332312						34.17929	-117.35144	009137126								THE HERRICK CORP	009137126	0		NA												NO	TOMD@HERRICKSTEEL.COM			YES	 	
95208STCKT3003E	1313211070495	007440020	NICKEL	TRI	Pounds																		2013	NO	STOCKTON STEEL	3003 E HAMMER LN	STOCKTON	SAN JOAQUIN	CA	952122801			YES	NO	NO	NO								332312						38.0212	-121.27749	187946611								THE HERRICK CORP	009137126	0		NA												NO	TOMD@HERRICKSTEEL.COM			YES	 	
92427SNBRN5454N	1313211070521	007440020	NICKEL	TRI	Pounds																		2013	NO	SAN BERNARDINO STEEL	5454 N INDUSTRIAL PKWY	SAN BERNARDINO	SAN BERNARDINO	CA	924071859			YES	NO	NO	NO								332312						34.17929	-117.35144	009137126								THE HERRICK CORP	009137126	0		NA												NO	TOMD@HERRICKSTEEL.COM			YES	 	
92665RCHMN1885N	1313211070750	N511	NITRATE COMPOUNDS	TRI	Pounds																		2013	NO	DUCOMMUN AEROSTRUCTURES INC ORANGE FACILITY	1885 N BATAVIA ST	ORANGE	ORANGE	CA	92865			YES	NO	NO	NO								336413						33.81879	-117.86204	041326216								DUCOMMUN INC	009584103	51518	C 	ORANGE COUNTY SANITATION DISTRICT RECLAMATION PLANTS 1 & 2	10844 ELLIS AVENUE	FOUNTAIN VALLEY	CA	ORANGE	92708							NO	JHEISER@DUCOMMUN.COM			NO	 	
95301JRWDN7916W	1313211070762	007664417	AMMONIA	TRI	Pounds																		2013	NO	DOLE PACKAGED FOODS LLC	7916 W BELLEVUE RD	ATWATER	MERCED	CA	95301			YES	NO	NO	NO								311411						37.360372	-120.631742	008965428								DPF HOLDINGS INC.; C/O DOLE PACKAGED FOODS LLC.	008965428	0		NA												NO	HANY.FARAG@DOLEINTL.COM			NO	 	
91745TLDYN16800	1313211070786	007440473	CHROMIUM	TRI	Pounds																		2013	NO	PAC FOUNDRIES-INDUSTRY	16800 CHESTNUT ST	CITY OF INDUSTRY	LOS ANGELES	CA	91745			YES	NO	NO	NO								331512						34.00757	-117.93847	049363229								CONSOLIDATED PRECISION PRODUCTS	049363229	0	M2	SAN JOSE CREEK WATER RECLAMATION PLANT	1955 WORKMAN MILL ROAD	WHITTIER	CA	LOS ANGELES	90601							NO	AL.BANNISTER@CPPCORP.COM			YES	 	
92665RCHMN1885N	1313211070800	007697372	NITRIC ACID	TRI	Pounds																		2013	NO	DUCOMMUN AEROSTRUCTURES INC ORANGE FACILITY	1885 N BATAVIA ST	ORANGE	ORANGE	CA	92865			YES	NO	NO	NO								336413						33.81879	-117.86204	041326216								DUCOMMUN INC	009584103	0		NA												NO	JHEISER@DUCOMMUN.COM			NO	 	
91745TLDYN16800	1313211070836	007439921	LEAD	TRI	Pounds																		2013	NO	PAC FOUNDRIES-INDUSTRY	16800 CHESTNUT ST	CITY OF INDUSTRY	LOS ANGELES	CA	91745			YES	NO	NO	NO								331512						34.00757	-117.93847	049363229								CONSOLIDATED PRECISION PRODUCTS	049363229	.5	O 	SAN JOSE CREEK WATER RECLAMATION PLANT	1955 WORKMAN MILL ROAD	WHITTIER	CA	LOS ANGELES	90601							NO	AL.BANNISTER@CPPCORP.COM			YES	 	
92665RCHMN1885N	1313211070863	000127184	TETRACHLOROETHYLENE	TRI	Pounds																		2013	NO	DUCOMMUN AEROSTRUCTURES INC ORANGE FACILITY	1885 N BATAVIA ST	ORANGE	ORANGE	CA	92865			YES	NO	NO	NO								336413						33.81879	-117.86204	041326216								DUCOMMUN INC	009584103	1	M2	ORANGE COUNTY SANITATION DISTRICT RECLAMATION PLANTS 1 & 2	10844 ELLIS AVENUE	FOUNTAIN VALLEY	CA	ORANGE	92708							NO	JHEISER@DUCOMMUN.COM			NO	 	
91745TLDYN16800	1313211070887	007440020	NICKEL	TRI	Pounds																		2013	NO	PAC FOUNDRIES-INDUSTRY	16800 CHESTNUT ST	CITY OF INDUSTRY	LOS ANGELES	CA	91745			YES	NO	NO	NO								331512						34.00757	-117.93847	049363229								CONSOLIDATED PRECISION PRODUCTS	049363229	5	M2	SAN JOSE CREEK WATER RECLAMATION PLANT	1955 WORKMAN MILL ROAD	WHITTIER	CA	LOS ANGELES	90601							NO	AL.BANNISTER@CPPCORP.COM			YES	 	
94520PTSYS1980O	1313211070913	N420	LEAD COMPOUNDS	PBT	Pounds																		2013	NO	PT SYSTEMS INC	1980 OLIVERA RD, SUITE A	CONCORD	CONTRA COSTA	CA	945205454			YES	NO	NO	NO								334418						37.99846	-122.04864	070146360										.0503466	M2	CENTRAL CONTRA COSTA SANITARY DISTRICT	5019 IMHOFF PLACE	MARTINEZ	CA	CONTRA COSTA	94553							NO	LFINLEY@PTSYSTEMSINC.COM			YES	 	
95401HWLTT1412F	1313211074695	007697372	NITRIC ACID	TRI	Pounds																		2013	NO	AGILENT TECHNOLOGIES INC	1400 FOUNTAINGROVE PKWY	SANTA ROSA	SONOMA	CA	95403			YES	NO	NO	NO								334515						38.483137	-122.712713	084963177								AGILENT TECHNOLOGIES INC		0	M1	CITY OF SANTA ROSA WASTEWATER	4300 LLANO ROAD	SANTA ROSA	CA	SONOMA	95407							NO	JEFF_WEBER@AGILENT.COM			NO	 	
91303NTNLR6969D	1313211074810	N420	LEAD COMPOUNDS	PBT	Pounds																		2013	NO	NATIONAL READY MIX CONCRETE CO	6969 DEERING AVE	CANOGA PARK	LOS ANGELES	CA	91303			YES	NO	NO	NO								327320						34.196883	-118.596616									NATIONAL CEMENT		0		NA												NO	RMORTON@NATCEM.COM			YES	 	
91706NTNLR262BU	1313211074822	N420	LEAD COMPOUNDS	PBT	Pounds																		2013	NO	NATIONAL READY MIX CONCRETE CO	2620 BUENA VISTA ST	IRWINDALE	LOS ANGELES	CA	91706			YES	NO	NO	NO								327320						34.118747	-117.983375									NATIONAL CEMENT		0		NA												NO	RMORTON@NATCEM.COM			YES	 	
92714NTNLR16282	1313211074846	N420	LEAD COMPOUNDS	PBT	Pounds																		2013	NO	NATIONAL READY MIX CONCRETE CO	16282 CONSTRUCTION CIR E	IRVINE	ORANGE	CA	92606			YES	NO	NO	NO								327320						33.69449	-117.82121									NATIONAL CEMENT		0		NA												NO	RMORTON@NATCEM.COM			YES	 	
91401NTNLR1523X	1313211074859	N420	LEAD COMPOUNDS	PBT	Pounds																		2013	NO	NATIONAL READY MIX CONCRETE CO	15203 OXNARD ST	VAN NUYS	LOS ANGELES	CA	91401			YES	NO	NO	NO								327320						34.17937	-118.46419									NATIONAL CEMENT		0		NA												NO	RMORTON@NATCEM.COM			YES	 	
90039NTNLR4549B	1313211074861	N420	LEAD COMPOUNDS	PBT	Pounds																		2013	NO	NATIONAL READY MIX CONCRETE CO	4549 BRAZIL ST	LOS ANGELES	LOS ANGELES	CA	90039			YES	NO	NO	NO								327320						34.146825	-118.274021									NATIONAL CEMENT		0		NA												NO	RMORTON@NATCEM.COM			YES	 	
90701NTNLR11725	1313211074873	N420	LEAD COMPOUNDS	PBT	Pounds																		2013	NO	NATIONAL READY MIX CONCRETE CO	11725 E ARTESIA BLVD	ARTESIA	LOS ANGELES	CA	90701			YES	NO	NO	NO								327320						33.87309	-118.08376									NATIONAL CEMENT		0		NA												NO	RMORTON@NATCEM.COM			YES	 	
91352NTNLR91NRR	1313211074885	N420	LEAD COMPOUNDS	PBT	Pounds																		2013	NO	NATIONAL READY MIX CONCRETE CO	9010 NORRIS AVE	SUN VALLEY	LOS ANGELES	CA	91352			YES	NO	NO	NO								327320						34.23246	-118.37615									NATIONAL CEMENT		0		NA												NO	RMORTON@NATCEM.COM			YES	 	
93021NTNLR1395E	1313211074909	N420	LEAD COMPOUNDS	PBT	Pounds																		2013	NO	NATIONAL READY MIX CONCRETE CO	13950 PRINCETON AVE	MOORPARK	VENTURA	CA	93021			YES	NO	NO	NO								327320						34.28768	-118.86779									NATIONAL CEMENT		0		NA												NO	RMORTON@NATCEM.COM			YES	 	
