TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	REPORTING YEAR	TRADE SECRET INDICATOR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	TOTAL POTW TRANSFERS	BASIS OF ESTIMATE FOR POTWS	POTW A - NAME	POTW A - ADDRESS	POTW A - CITY	POTW A - STATE	POTW A - COUNTY	POTW A - ZIP	POTW B - NAME	POTW B - ADDRESS	POTW B - CITY	POTW B - STATE	POTW B - COUNTY	POTW B - ZIP	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR
58201JRSMP3630G	1307206112803	007664417	AMMONIA	TRI	Pounds																		2007	NO	J. R. SIMPLOT CO	3630 GATEWAY DR	GRAND FORKS	GRAND FORKS	ND	58203	YES	NO	NO	NO														47.933611	-97.0825	009073503								J.R. SIMPLOT CO	009073503	5657	M2													NO	NA			NO	
58201JRSMP3630G	1307206112815	N511	NITRATE COMPOUNDS	TRI	Pounds																		2007	NO	J. R. SIMPLOT CO	3630 GATEWAY DR	GRAND FORKS	GRAND FORKS	ND	58203	YES	NO	NO	NO														47.933611	-97.0825	009073503								J.R. SIMPLOT CO	009073503	114122	M2													NO	NA			NO	
58201JRSMP3630G	1307206112827	007697372	NITRIC ACID	TRI	Pounds																		2007	NO	J. R. SIMPLOT CO	3630 GATEWAY DR	GRAND FORKS	GRAND FORKS	ND	58203	YES	NO	NO	NO														47.933611	-97.0825	009073503								J.R. SIMPLOT CO	009073503	0	M1													NO	NA			NO	
58102PHNXN175ND	1307206138861	007439921	LEAD	PBT	Pounds																		2007	NO	PHOENIX INTERNATIONAL	1750 NDSU RESEARCH PARK DR	FARGO	CASS	ND	58102	YES	NO	NO	NO														46.902356	-96.806627	188853428								JOHN DEERE	005267471	0	M2													NO	LEVOSROGERA@JOHNDEERE.COM			YES	
58225MRCNCPOBOX	1307205393782	007664417	AMMONIA	TRI	Pounds																		2007	NO	AMERICAN CRYSTAL SUGAR CO	OLD HWY 44	DRAYTON	PEMBINA	ND	582250190	YES	NO	NO	NO														48.592778	-97.175833	007430945								AMERICAN CRYSTAL SUGAR CO	064792773	0														NO	RKOESTER@CRYSTALSUGAR.COM			NO	
58225MRCNCPOBOX	1307205393794	N150	DIOXIN AND DIOXIN-LIKE COMPOUNDS	DIOXIN	Grams																		2007	NO	AMERICAN CRYSTAL SUGAR CO	OLD HWY 44	DRAYTON	PEMBINA	ND	582250190	YES	NO	NO	NO														48.592778	-97.175833	007430945								AMERICAN CRYSTAL SUGAR CO	064792773	0														NO	RKOESTER@CRYSTALSUGAR.COM			NO	
58225MRCNCPOBOX	1307205393806	N420	LEAD COMPOUNDS	PBT	Pounds																		2007	NO	AMERICAN CRYSTAL SUGAR CO	OLD HWY 44	DRAYTON	PEMBINA	ND	582250190	YES	NO	NO	NO														48.592778	-97.175833	007430945								AMERICAN CRYSTAL SUGAR CO	064792773	0														NO	RKOESTER@CRYSTALSUGAR.COM			YES	
58027NRTHR55251	1307206026698	000110543	N-HEXANE	TRI	Pounds																		2007	NO	ADM NORTHERN SUN DIV	5525 136TH AVE SE	ENDERLIN	RANSOM	ND	58027	YES	NO	NO	NO														46.612599	-97.573949	838711901								ADM	001307586	522	M2	ENDERLIN WATER PLANT	WATER PLANT ROAD	ENDERLIN	ND	RANSOM	58027							NO	M_BUBLITZ@ADMWORLD.COM			NO	
58027NRTHR55251	1307206026724	N150	DIOXIN AND DIOXIN-LIKE COMPOUNDS	DIOXIN	Grams	15.44	1.6	4.69	5.8	2.11	2.77	.26	.53	.49	5.55	9.77	37.11	4.87	4.56	.27	4.14	.04	2007	NO	ADM NORTHERN SUN DIV	5525 136TH AVE SE	ENDERLIN	RANSOM	ND	58027	YES	NO	NO	NO														46.612599	-97.573949	838711901								ADM	001307586	0														NO	M_BUBLITZ@ADMWORLD.COM			NO	
58040MLRCM2101S	1307205273271	000095636	1,2,4-TRIMETHYLBENZENE	TRI	Pounds																		2007	NO	BOBCAT CO (MELROE)	210 1ST AVE NE	GWINNER	SARGENT	ND	58040	YES	NO	NO	NO														46.228733	-97.661593	080224385								DOOSAN INFRACORE AMERICA CORP	688270904	0														NO	GROVER_RIEBE@BOBCAT.COM			NO	
58040MLRCM2101S	1307205273283	N230	CERTAIN GLYCOL ETHERS	TRI	Pounds																		2007	NO	BOBCAT CO (MELROE)	210 1ST AVE NE	GWINNER	SARGENT	ND	58040	YES	NO	NO	NO														46.228733	-97.661593	080224385								DOOSAN INFRACORE AMERICA CORP	688270904	26956	O 	GWINNER MUNI. SEWAGE LAGOON	P.O. BOX 425	GWINNER	ND	SARGENT	58040							NO	GROVER_RIEBE@BOBCAT.COM			NO	
58040MLRCM2101S	1307205273295	007439965	MANGANESE	TRI	Pounds																		2007	NO	BOBCAT CO (MELROE)	210 1ST AVE NE	GWINNER	SARGENT	ND	58040	YES	NO	NO	NO														46.228733	-97.661593	080224385								DOOSAN INFRACORE AMERICA CORP	688270904	0														NO	GROVER_RIEBE@BOBCAT.COM			YES	
58045MRCNCHWY81	1307205393818	007664417	AMMONIA	TRI	Pounds																		2007	NO	AMERICAN CRYSTAL SUGAR CO	HWY 81 N	HILLSBORO	TRAILL	ND	58045	YES	NO	NO	NO														47.436667	-97.062222	071753974								AMERICAN CRYSTAL SUGAR CO	064792773	0														NO	RAXTMAN@CRYSTALSUGAR.COM			NO	
58045MRCNCHWY81	1307205393820	N150	DIOXIN AND DIOXIN-LIKE COMPOUNDS	DIOXIN	Grams																		2007	NO	AMERICAN CRYSTAL SUGAR CO	HWY 81 N	HILLSBORO	TRAILL	ND	58045	YES	NO	NO	NO														47.436667	-97.062222	071753974								AMERICAN CRYSTAL SUGAR CO	064792773	0														NO	RAXTMAN@CRYSTALSUGAR.COM			NO	
58045MRCNCHWY81	1307205393832	N420	LEAD COMPOUNDS	PBT	Pounds																		2007	NO	AMERICAN CRYSTAL SUGAR CO	HWY 81 N	HILLSBORO	TRAILL	ND	58045	YES	NO	NO	NO														47.436667	-97.062222	071753974								AMERICAN CRYSTAL SUGAR CO	064792773	0														NO	RAXTMAN@CRYSTALSUGAR.COM			YES	
58072JHNDR12257	1307205405311	000095636	1,2,4-TRIMETHYLBENZENE	TRI	Pounds																		2007	NO	JOHN DEERE SEEDING GROUP VALLEY CITY ND	1225 7TH ST	VALLEY CITY	BARNES	ND	58072	YES	NO	NO	NO														46.9185	-97.98742									DEERE & CO.	005267471	0														NO	SCHMALZSHARONM@JOHNDEERE.COM			NO	
58072JHNDR12257	1307205405323	007439921	LEAD	PBT	Pounds																		2007	NO	JOHN DEERE SEEDING GROUP VALLEY CITY ND	1225 7TH ST	VALLEY CITY	BARNES	ND	58072	YES	NO	NO	NO														46.9185	-97.98742									DEERE & CO.	005267471	0	M2													NO	SCHMALZSHARONM@JOHNDEERE.COM			YES	
58074HTCHNHIGHW	1307205188612	007440473	CHROMIUM	TRI	Pounds																		2007	NO	WIL-RICH, LLC.	17885 HWY 13	WAHPETON	RICHLAND	ND	58074	YES	NO	NO	NO														46.2612	-96.705889	186811196										0														NO	NA			YES	
58074HTCHNHIGHW	1307205188624	007440020	NICKEL	TRI	Pounds																		2007	NO	WIL-RICH, LLC.	17885 HWY 13	WAHPETON	RICHLAND	ND	58074	YES	NO	NO	NO														46.2612	-96.705889	186811196										0														NO	NA			YES	
58074HTCHNHIGHW	1307205188636	001330207	XYLENE (MIXED ISOMERS)	TRI	Pounds																		2007	NO	WIL-RICH, LLC.	17885 HWY 13	WAHPETON	RICHLAND	ND	58074	YES	NO	NO	NO														46.2612	-96.705889	186811196										0														NO	NA			NO	
58074HTCHNHIGHW	1307205188648	007439921	LEAD	PBT	Pounds																		2007	NO	WIL-RICH, LLC.	17885 HWY 13	WAHPETON	RICHLAND	ND	58074	YES	NO	NO	NO														46.2612	-96.705889	186811196										0														NO	NA			YES	
58074HTCHNHIGHW	1307205188651	007440508	COPPER	TRI	Pounds																		2007	NO	WIL-RICH, LLC.	17885 HWY 13	WAHPETON	RICHLAND	ND	58074	YES	NO	NO	NO														46.2612	-96.705889	186811196										0														NO	NA			YES	
58075PRGLD18049	1307205886803	007782505	CHLORINE	TRI	Pounds																		2007	NO	CARGILL INC WET CORN MILLING - WAHPETON	18049 COUNTY RD 8 E	WAHPETON	RICHLAND	ND	58075	YES	NO	NO	NO														46.345208	-96.63778	006249189										0														NO				NO	
58075PRGLD18049	1307205886815	007439921	LEAD	PBT	Pounds																		2007	NO	CARGILL INC WET CORN MILLING - WAHPETON	18049 COUNTY RD 8 E	WAHPETON	RICHLAND	ND	58075	YES	NO	NO	NO														46.345208	-96.63778	006249189										0														NO				YES	
58102CSSCL200N2	1307205961699	N511	NITRATE COMPOUNDS	TRI	Pounds																		2007	NO	CASS CLAY CREAMERY INC	200 20TH ST N	FARGO	CASS	ND	58102	YES	NO	NO	NO														46.8783	-96.812	006148969								ASSOCIATED MILK PRODUCERS INC	043225507	19062	E1	FARGO WATER TREATMENT PLANT	300 NORTH BROADWAY	FARGO	ND	CASS	58102							NO	KEITHP@CASSCLAY.COM			NO	
58102CSSCL200N2	1307205961701	007697372	NITRIC ACID	TRI	Pounds																		2007	NO	CASS CLAY CREAMERY INC	200 20TH ST N	FARGO	CASS	ND	58102	YES	NO	NO	NO														46.8783	-96.812	006148969								ASSOCIATED MILK PRODUCERS INC	043225507	53	E1	FARGO WATER TREATMENT PLANT	300 NORTH BROADWAY	FARGO	ND	CASS	58102							NO	KEITHP@CASSCLAY.COM			NO	
58102TCTN 44011	1307206013272	000100425	STYRENE	TRI	Pounds																		2007	NO	TECTON PRODUCTS LLC	4401 15TH AVE N	FARGO	CASS	ND	581022824	YES	NO	NO	NO														46.897134	-96.859759	798195186								MARVIN LUMBER & CEDAR CO	006164511	0														NO	DDELVO@TECTONPRODUCTS.COM			NO	
58108STGRT34011	1307205918459	007440473	CHROMIUM	TRI	Pounds																		2007	NO	CNH AMERICA LLC	3401 1ST AVE N	FARGO	CASS	ND	58102	YES	NO	NO	NO														46.878358	-96.833554	045964921								CASE NEW HOLLAND INC.		2	M2	FARGO SEWAGE PLANT	3400 N. BROADWAY	FARGO	ND	CASS	58102							NO	NA			YES	
58108STGRT34011	1307205918473	007440020	NICKEL	TRI	Pounds																		2007	NO	CNH AMERICA LLC	3401 1ST AVE N	FARGO	CASS	ND	58102	YES	NO	NO	NO														46.878358	-96.833554	045964921								CASE NEW HOLLAND INC.		1	M2	FARGO SEWAGE PLANT	3400 N. BROADWAY	FARGO	ND	CASS	58102							NO	NA			YES	
58108STGRT34011	1307205918497	007439965	MANGANESE	TRI	Pounds																		2007	NO	CNH AMERICA LLC	3401 1ST AVE N	FARGO	CASS	ND	58102	YES	NO	NO	NO														46.878358	-96.833554	045964921								CASE NEW HOLLAND INC.		0	O 	FARGO SEWAGE PLANT	3400 N. BROADWAY	FARGO	ND	CASS	58102							NO	NA			YES	
58108STGRT34011	1307205918511	000107211	ETHYLENE GLYCOL	TRI	Pounds																		2007	NO	CNH AMERICA LLC	3401 1ST AVE N	FARGO	CASS	ND	58102	YES	NO	NO	NO														46.878358	-96.833554	045964921								CASE NEW HOLLAND INC.		100	O 	FARGO SEWAGE PLANT	3400 N. BROADWAY	FARGO	ND	CASS	58102							NO	NA			NO	
58108STGRT34011	1307205918535	007439921	LEAD	PBT	Pounds																		2007	NO	CNH AMERICA LLC	3401 1ST AVE N	FARGO	CASS	ND	58102	YES	NO	NO	NO														46.878358	-96.833554	045964921								CASE NEW HOLLAND INC.		.3	M2	FARGO SEWAGE PLANT	3400 N. BROADWAY	FARGO	ND	CASS	58102							NO	NA			YES	
58108STGRT34011	1307205918550	007440508	COPPER	TRI	Pounds																		2007	NO	CNH AMERICA LLC	3401 1ST AVE N	FARGO	CASS	ND	58102	YES	NO	NO	NO														46.878358	-96.833554	045964921								CASE NEW HOLLAND INC.		5	M2	FARGO SEWAGE PLANT	3400 N. BROADWAY	FARGO	ND	CASS	58102							NO	NA			YES	
58203RDFRZ25MIL	1307205754207	000191242	BENZO(G,H,I)PERYLENE	PBT	Pounds																		2007	NO	RDO FROZEN CO. OF DELAWARE D/B /A RDO FOODS CO.	2500 MILL RD	GRAND FORKS	GRAND FORKS	ND	58203	YES	NO	NO	NO														47.944803	-97.059312	084112663										0														NO	TBOUSHEE@NORTHAMERICANFOODS.COM			NO	
58203RDFRZ25MIL	1307205754221	N590	POLYCYCLIC AROMATIC COMPOUNDS	PBT	Pounds																		2007	NO	RDO FROZEN CO. OF DELAWARE D/B /A RDO FOODS CO.	2500 MILL RD	GRAND FORKS	GRAND FORKS	ND	58203	YES	NO	NO	NO														47.944803	-97.059312	084112663										0														NO	TBOUSHEE@NORTHAMERICANFOODS.COM			NO	
58206LMGLS1580S	1307205847344	000100425	STYRENE	TRI	Pounds																		2007	NO	LM GLASFIBER (ND) INC.	1580 S 58TH ST	GRAND FORKS	GRAND FORKS	ND	58206	YES	NO	NO	NO														47.904472	-97.099216	052885311										0														NO	DEP@LMGLASFIBER.COM			NO	
58206LMGLS1580S	1307205847357	000080159	CUMENE HYDROPEROXIDE	TRI	Pounds																		2007	NO	LM GLASFIBER (ND) INC.	1580 S 58TH ST	GRAND FORKS	GRAND FORKS	ND	58206	YES	NO	NO	NO														47.904472	-97.099216	052885311										0														NO	DEP@LMGLASFIBER.COM			NO	
58206LMGLS1580S	1307205847369	000131113	DIMETHYL PHTHALATE	TRI	Pounds																		2007	NO	LM GLASFIBER (ND) INC.	1580 S 58TH ST	GRAND FORKS	GRAND FORKS	ND	58206	YES	NO	NO	NO														47.904472	-97.099216	052885311										0														NO	DEP@LMGLASFIBER.COM			NO	
58206LMGLS1580S	1307205847371	000080626	METHYL METHACRYLATE	TRI	Pounds																		2007	NO	LM GLASFIBER (ND) INC.	1580 S 58TH ST	GRAND FORKS	GRAND FORKS	ND	58206	YES	NO	NO	NO														47.904472	-97.099216	052885311										0														NO	DEP@LMGLASFIBER.COM			NO	
58282DMCRNCOUNT	1307205307402	000075070	ACETALDEHYDE	TRI	Pounds																		2007	NO	ADM CORN PROCESSING	12868 COUNTY RD 9	WALHALLA	PEMBINA	ND	582820709	YES	NO	NO	NO														48.90971	-97.88701	556062040								ARCHER DANIELS MIDLAND CO	001307586	0														NO	CALMES@ADMWORLD.COM			NO	
58282DMCRNCOUNT	1307205307426	N040	BARIUM COMPOUNDS	TRI	Pounds																		2007	NO	ADM CORN PROCESSING	12868 COUNTY RD 9	WALHALLA	PEMBINA	ND	582820709	YES	NO	NO	NO														48.90971	-97.88701	556062040								ARCHER DANIELS MIDLAND CO	001307586	0														NO	CALMES@ADMWORLD.COM			YES	
58282DMCRNCOUNT	1307205307453	N420	LEAD COMPOUNDS	PBT	Pounds																		2007	NO	ADM CORN PROCESSING	12868 COUNTY RD 9	WALHALLA	PEMBINA	ND	582820709	YES	NO	NO	NO														48.90971	-97.88701	556062040								ARCHER DANIELS MIDLAND CO	001307586	0														NO	CALMES@ADMWORLD.COM			YES	
58282DMCRNCOUNT	1307205307465	N458	MERCURY COMPOUNDS	PBT	Pounds																		2007	NO	ADM CORN PROCESSING	12868 COUNTY RD 9	WALHALLA	PEMBINA	ND	582820709	YES	NO	NO	NO														48.90971	-97.88701	556062040								ARCHER DANIELS MIDLAND CO	001307586	0														NO	CALMES@ADMWORLD.COM			YES	
58301NRDCF2NDAV	1307205492539	000100425	STYRENE	TRI	Pounds																		2007	NO	NORDIC FIBERGLASS INC.	415 2ND ST SE	DEVILS LAKE	RAMSEY	ND	58301	YES	NO	NO	NO														48.111838	-98.863419	051149064										0														NO	NA			NO	
58401LCSWS2604H	1307205392929	N090	CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)	TRI	Pounds																		2007	NO	GOODRICH CORP	2604 HWY 20 N	JAMESTOWN	STUTSMAN	ND	58401	YES	NO	NO	NO														46.932026	-98.691464	144693728								GOODRICH CORP	004179453	27	M2													NO	DALE.RIEDERER@GOODRICH.COM			YES	
58401LCSWS2604H	1307205392931	N100	COPPER COMPOUNDS	TRI	Pounds																		2007	NO	GOODRICH CORP	2604 HWY 20 N	JAMESTOWN	STUTSMAN	ND	58401	YES	NO	NO	NO														46.932026	-98.691464	144693728								GOODRICH CORP	004179453	13.25	C 													NO	DALE.RIEDERER@GOODRICH.COM			YES	
58401LCSWS2604H	1307205392943	007697372	NITRIC ACID	TRI	Pounds																		2007	NO	GOODRICH CORP	2604 HWY 20 N	JAMESTOWN	STUTSMAN	ND	58401	YES	NO	NO	NO														46.932026	-98.691464	144693728								GOODRICH CORP	004179453	0	M2													NO	DALE.RIEDERER@GOODRICH.COM			NO	
58401LCSWS2604H	1307205392956	000127184	TETRACHLOROETHYLENE	TRI	Pounds																		2007	NO	GOODRICH CORP	2604 HWY 20 N	JAMESTOWN	STUTSMAN	ND	58401	YES	NO	NO	NO														46.932026	-98.691464	144693728								GOODRICH CORP	004179453	0														NO	DALE.RIEDERER@GOODRICH.COM			NO	
58401LCSWS2604H	1307205392968	N420	LEAD COMPOUNDS	PBT	Pounds																		2007	NO	GOODRICH CORP	2604 HWY 20 N	JAMESTOWN	STUTSMAN	ND	58401	YES	NO	NO	NO														46.932026	-98.691464	144693728								GOODRICH CORP	004179453	1.44	C 	CITY OF JAMESTOWN WATER PLANT	SOUTH OF CITY	JAMESTOWN	ND	STUTSMAN	58401							NO	DALE.RIEDERER@GOODRICH.COM			YES	
58463PLRWR9104T	1307205463298	007440473	CHROMIUM	TRI	Pounds																		2007	NO	POLAR WARE CO	910 4TH ST E	MCCLUSKY	SHERIDAN	ND	58463	YES	NO	NO	NO														47.472426	-100.333543											.0252811	M2													NO	TKEES@POLARWARE.COM			YES	
58463PLRWR9104T	1307205463300	007440020	NICKEL	TRI	Pounds																		2007	NO	POLAR WARE CO	910 4TH ST E	MCCLUSKY	SHERIDAN	ND	58463	YES	NO	NO	NO														47.472426	-100.333543											.0202249	M2	MCCLUSKY WASTEWATER TREATMENT	CITY HALL 117 AVENUE B EAST	MCCLUSKY	ND	SHERIDAN	58463							NO	TKEES@POLARWARE.COM			YES	
58495WSHKS1122N	1307206160739	007440473	CHROMIUM	TRI	Pounds																		2007	NO	WISHEK STEEL & MANUFACTURING	112 2ND AVE S	WISHEK	MCINTOSH	ND	58495	YES	NO	NO	NO														46.257132	-99.564583									WIL-RICH LLC		0		NA												NO	NA			YES	
58495WSHKS1122N	1307206160754	007440508	COPPER	TRI	Pounds																		2007	NO	WISHEK STEEL & MANUFACTURING	112 2ND AVE S	WISHEK	MCINTOSH	ND	58495	YES	NO	NO	NO														46.257132	-99.564583									WIL-RICH LLC		0		NA												NO	NA			YES	
58495WSHKS1122N	1307206160766	007440020	NICKEL	TRI	Pounds																		2007	NO	WISHEK STEEL & MANUFACTURING	112 2ND AVE S	WISHEK	MCINTOSH	ND	58495	YES	NO	NO	NO														46.257132	-99.564583									WIL-RICH LLC		0		NA												NO	NA			YES	
58504MLRCM530SO	1307205981121	007439965	MANGANESE	TRI	Pounds																		2007	NO	BOBCAT CO	521 S 22ND ST	BISMARCK	BURLEIGH	ND	58506	YES	NO	NO	NO														46.80948	-100.758704	080224385								DOOSAN INFRACORE AMERICA CORP	688270904	0														NO	DARREL_HELLMAN@BOBCAT.COM			YES	
58523CTPRP204CO	1307205408483	007664417	AMMONIA	TRI	Pounds																		2007	NO	COTEAU PROPERTIES CO FREEDOM MINE	204 COUNTY RD 15	BEULAH	MERCER	ND	58523	YES	NO	NO	NO														47.447798	-101.886614									NACCO INDUSTRIES	060405933	0														NO				NO	
58523NTLPV294CO	1307205595984	N020	ARSENIC COMPOUNDS	TRI	Pounds																		2007	NO	BASIN ELECTRIC   ANTELOPE VALLEY STATION	294 COUNTY 15	BEULAH	MERCER	ND	585239475	YES	NO	NO	NO														47.367903	-101.837286	003868007										0														NO	BERIKSEN@BEPC.COM			YES	
