TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ADDITION INFORMATION - SOURCE REDUCTION	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	3-3-2012	
70767WSTSD3520S	1305203454602	007439921	LEAD	PBT	2005	AZZ GALVANIZING-WESTSIDE	3520 S RIVERVIEW	PORT ALLEN	WEST BATON ROUGE	LA	707673520	YES	NO	NO	NO	3479							332812						30.50006	-91.226823	098598360								AZZ INC	008012148	The amount of lead releases were reduced by changing to a low-lead zinc stock.	NO	KEVINHALSTEAD@AZZGALV.COM			YES	 	
03301PRXRT146PE	1305203422973	007440508	COPPER	TRI	2005	PRAXAIR TAFA	146 PEMBROKE RD	CONCORD	MERRIMACK	NH	03301	YES	NO	NO	NO	3559							333298						43.214	-71.493	081253601								PRAXAIR INC	197154586	Production ratio entered is for future years. 2004-2005 actually was 1.17 but was due to product mix change (additional part numbers) future (1.07) is based on growth only.	NO	SCOTT_FOGG@PRAXAIR.COM			YES	 	
45241DLTSC11500	1305203507583	001330207	XYLENE (MIXED ISOMERS)	TRI	2005	DA-LITE SCREEN CO INC POLACOAT DIV	11500 WILLIAMSON RD	CINCINNATI	HAMILTON	OH	45241	YES	NO	NO	NO	3089							326199						39.27651	-84.378401	101503944								DA-LITE SCREEN CO INC	005145784	A Regenerative Thermal Oxidizer was installed December 2004.  Testing of the RTO was on August 10, 2005.	NO	EDOLL@DA-LITE.COM			NO	 	
01089CMWST15AGA	1305203534870	N590	POLYCYCLIC AROMATIC COMPOUNDS	PBT	2005	NAEA ENERGY MASSACHUSETTS LLC  WEST SPRINGFIELD STATION	15 AGAWAM AVE	WEST SPRINGFIELD	HAMPDEN	MA	01089	YES	NO	NO	NO	4911							221112						42.094444	-72.593056									NORTH AMERICAN ENERGY ALLIANCE LLC		Emissions of toxic chemicals result from the combustion of fuel oils and natural gas.  All combustion units are tuned annually to fire at the most efficient rate.  Emission fluctiations from year to year are due to fluctuations in operating time and are based on economics and electric grid needs.	NO	AALAN.DOUGLASS@NAEALLC.COM			NO	 	
13204FBRTK56IND	1305203468513	007647010	HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY)	TRI	2005	SYRACUSE ENERGY CORP	56 INDUSTRIAL DR	SYRACUSE	ONONDAGA	NY	132041091	YES	NO	NO	NO	4931							221112						43.064528	-76.208889	147855613								SUEZ ENERGY GENERATION NA	133378939	A new SO2 control system was put into service in June 2006.  This system will also remove HCl from the stack gas stream.	NO	TOM.MINION@GDFSUEZNA.COM			NO	 	
32501RCHHL407SO	1305203475330	000108316	MALEIC ANHYDRIDE	TRI	2005	REICHHOLD INC	425 S PACE BLVD	PENSACOLA	ESCAMBIA	FL	32502	YES	NO	NO	NO	2821							325211						30.407231	-87.241979	001220904								REICHHOLD INC	001220904	Improved emissions calculations, additional temperature readings, and actual monitoring for connection leakage accounted for many reductions in on-site release amounts.	NO	BRUCE.MCCALL@REICHHOLD.COM			NO	 	
32501RCHHL407SO	1305203475393	001330207	XYLENE (MIXED ISOMERS)	TRI	2005	REICHHOLD INC	425 S PACE BLVD	PENSACOLA	ESCAMBIA	FL	32502	YES	NO	NO	NO	2821							325211						30.407231	-87.241979	001220904								REICHHOLD INC	001220904	Improved emissions calculations, additional temperature readings, and actual monitoring for connection leakage accounted for many reductions in on-site release amounts. Increased amount of recovered xylene through improved schedualing.	NO	BRUCE.MCCALL@REICHHOLD.COM			NO	 	
46801PHLPS4300N	1305203545557	000091203	NAPHTHALENE	TRI	2005	REA MAGNET WIRE CO	4300 NEW HAVEN AVE	FORT WAYNE	ALLEN	IN	46803	YES	NO	NO	NO	3357							331421						41.06888	-85.08389	004320032								REA MAGNET WIRE CO INC	004320032	Rea Magnet Wire purchased this facility from Phelps Dodge on February 10, 2006.	NO	NAYALA@REAWIRE.COM			NO	 	
54914MLLRL1635W	1305203506439	007440508	COPPER	TRI	2005	MILLER ELECTRIC (CENTRAL)	1635 W SPENCER ST	APPLETON	OUTAGAMIE	WI	54912	YES	NO	NO	NO	3548							333992						44.256389	-88.430556	006126379								ILLINOIS TOOL WORKS INC	005146428	NA	NO	PETE.LEMKE@THEWORCSINC.COM			YES	 	
99703SDPRT1060G	1305203518410	007664939	SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY)	TRI	2005	US ARMY FORT WAINWRIGHT CANTONMENT	1060 GAFFNEY RD #4500	FORT WAINWRIGHT	FAIRBANKS NORTH STAR	AK	997034500	YES	NO	YES	NO	9711							928110						64.823	-147.6106			AK6210022426	AK6210022422	AKR05A480				US DEPARTMENT OF DEFENSE		New fabric filter system (baghouse) fully online in RY-2005.  Particulates that were formerly released through coal fired steam plant stacks are now nearly 100% captured and disposed to on-site landfill.	YES	ERIC.MICHAEL.DICK@US.ARMY.MIL			NO	 	
35768CMMSC117LE	1305203487653	007440508	COPPER	TRI	2005	COMMSCOPE INC SCOTTSBORO ALABAMA FACILITY	117 LEQUIRE ST	SCOTTSBORO	JACKSON	AL	35768	YES	NO	NO	NO	3357							331422						34.630681	-86.059421	070626247								COMMSCOPE OF NORTH CAROLINA INC	070626247	This plant is being shutdown by the end of the calendar year and this is the reason for the zero for recycling for the second year	NO				YES	 	
46801PHLPS4300N	1305203545645	007440508	COPPER	TRI	2005	REA MAGNET WIRE CO	4300 NEW HAVEN AVE	FORT WAYNE	ALLEN	IN	46803	YES	NO	NO	NO	3357							331421						41.06888	-85.08389	004320032								REA MAGNET WIRE CO INC	004320032	Rea Magnet Wire purchased this facility from Phelps Dodge on February 10, 2006.	NO	NAYALA@REAWIRE.COM			YES	 	
55708MNNSTCOUNT	1305203530427	007664417	AMMONIA	TRI	2005	DYNO NOBEL INC	5392 VERMILION TRAIL	BIWABIK	ST LOUIS	MN	55708	YES	NO	NO	NO	2892							325920						47.526111	-92.333888									DYNO NOBEL INC		Modified piping and unloading systems for rail cars resulting in lower spill incidence and volume.	NO	JOE.HEJNY@AM.DYNONOBEL.COM			NO	 	
28803CHSPC3055S	1305203508268	000108883	TOLUENE	TRI	2005	PECHINEY PLASTICS PACKAGING(ALCAN)	3055 SWEETEN CREEK RD	ASHEVILLE	BUNCOMBE	NC	28803	YES	NO	NO	NO	2671							323112						35.502465	-82.517487	005105366								ALCAN		Purchased MP2 maintenance software for equipment	NO				NO	 	
54221GTZCR2318W	1305203565977	N090	CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)	TRI	2005	FEDERAL MOGUL PISTON RING INC	2318 WALDO BLVD	MANITOWOC	MANITOWOC	WI	542210910	YES	NO	NO	NO	3592							336311						44.108604	-87.68018	980570550								FEDERAL MOGUL CORP	006557045	Increased the capacity to recover and recycle more chromium on-site than in 2004.   Results in less chrome-bearing liquids sent off site for recycling in 2005.	NO	TERRY.FARR@FEDERALMOGUL.COM			YES	 	
83201MRCNM2300B	1305203559339	007664417	AMMONIA	TRI	2005	ON SEMICONDUCTOR INC	2300 BUCKSKIN RD	POCATELLO	BANNOCK	ID	83201	YES	NO	NO	NO	3674							334413						42.87074	-112.40753	076216865										Changed waste water treatment process to reduce Ammonia consumption.	NO	BETH.JOHNSTON@ONSEMI.COM			NO	 	
56649BSCSCSECON	1305203534108	000064186	FORMIC ACID	TRI	2005	BOISE WHITE PAPER LLC	400 SECOND ST	INTERNATIONAL FALLS	KOOCHICHING	MN	56649	YES	NO	NO	NO	2621	2611						322121						48.60375	-93.40509	170009265								BOISE INC	170009265	This revision from the Form R report takes into account that there was more than 500 pounds treated/destroyed on-site.  The original Form A was submitted due to less than 500 pounds released.	NO	LORILYMAN@BOISEPAPER.COM			NO	 	
77487NLCCH7701U	1305203484720	000100447	BENZYL CHLORIDE	TRI	2005	NALCO CO PLANT 106	7701 US HWY 90A	SUGAR LAND	FORT BEND	TX	77478	YES	NO	NO	NO	2869	2899						325998						29.619167	-95.6375	004962403								NALCO HOLDING CO	004962403	Note:  This facility's operations are batch.  As such, the production ratio, and emissions, will fluctuate drammatically from year to year.	NO	DLCOMER@NALCO.COM			NO	 	
77487NLCCH7701U	1305203484872	N982	ZINC COMPOUNDS	TRI	2005	NALCO CO PLANT 106	7701 US HWY 90A	SUGAR LAND	FORT BEND	TX	77478	YES	NO	NO	NO	2869	2899						325998						29.619167	-95.6375	004962403								NALCO HOLDING CO	004962403	Note:  This facility's operations are batch.  As such, the production ratio, and emissions, will fluctuate drammatically from year to year.	NO	DLCOMER@NALCO.COM			YES	 	
02184WLLST205WO	1305203507090	N090	CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)	TRI	2005	WOLLASTON ALLOYS	205 WOOD RD	BRAINTREE	NORFOLK	MA	02184	YES	NO	NO	NO	3325							331513						42.222009	-71.036243	001064427								WOLLASTON ALLOYS INC	001064427	The "other offsite disposial" of 512 pounds that is noted in 8.1d was material that is normally recycled. At the time our recycling permit was pending approval. In order to dispose of the material according to regulations while waiting for the recycling permit approval the material was sent to Triumvirate Environmential where it was stabilized before being disposed of. After the permit was approved all shipments were sent to Agmet Metals for recycling.	NO	DAVE.ADAMS@WALLOYS.COM			YES	 	
73125NTRNT5000W	1305203527662	007440508	COPPER	TRI	2005	INTERNATIONAL ENVIRONMENTAL CORP	5000 I-40 W	OKLAHOMA CITY	OKLAHOMA	OK	73128	YES	NO	NO	NO	3585							333415						35.45782	-97.60719	007464753								LSB INDUSTRIES INC	046860979	Use of "scrap" tubing for making other smaller part requirement on the equipment.	NO				YES	 	
97408MNCCC91320	1305203559861	000100414	ETHYLBENZENE	TRI	2005	MONACO RV LLC	91320 COBURG INDUSTRIAL WAY	COBURG	LANE	OR	97408	YES	NO	NO	NO	3716							336213						44.143795	-123.056614	829980291								NAVISTAR INTERNATIONAL CORP	005214200	Installation of VOC control device in Monaco's second paint plant occurred in 2005.	NO	MIKE.BLOMME@MONACORV.COM			NO	 	
63106WRNRJ2526B	1305203561473	N450	MANGANESE COMPOUNDS	TRI	2005	SENSIENT COLORS LLC	2515 N JEFFERSON AVE	SAINT LOUIS	SAINT LOUIS (CITY)	MO	63106	YES	NO	NO	NO	2865							325132						38.650841	-90.21637	937941052								SENSIENT TECHNOLOGIES CORP	006088884	Possible Error #10 - this has been verified.  Possible Error 921 - Part II, Section 6.1 - metals are in the wastewater & being sent to POTW.  Possiblle Error #210 - zip is verified	NO	BARRY.LOYD@SENSIENT-TECH.COM			YES	 	
77487NLCCH7701U	1305203484934	000111422	DIETHANOLAMINE	TRI	2005	NALCO CO PLANT 106	7701 US HWY 90A	SUGAR LAND	FORT BEND	TX	77478	YES	NO	NO	NO	2869	2899						325998						29.619167	-95.6375	004962403								NALCO HOLDING CO	004962403	Diethanolamine did not meet the SARA 313 threshold in 2004; therefore, the value for 2005 was used for both years, giving a production ratio of 1.0.    Note:  This facility's operations are batch.  As such, the production ratio, and emissions, will fluctuate drammatically from year to year.	NO	DLCOMER@NALCO.COM			NO	 	
02135BRRYC40GUE	1305203539705	N420	LEAD COMPOUNDS	PBT	2005	BARRY CONTROLS	40 GUEST ST	BRIGHTON	SUFFOLK	MA	02135	YES	NO	NO	NO	3499	3069						333515						42.35705	-71.14575	001023704								HUTCHINSON		Moved to 2 new facilities, closed this facility.	NO				YES	 	
04276BSCSCROUTE	1305203527849	N982	ZINC COMPOUNDS	TRI	2005	RUMFORD PAPER CO	35 HARTFORD ST	RUMFORD	OXFORD	ME	04276	YES	NO	NO	NO	2621	2611						322121						44.549805	-70.543493	001095014								NEWPAGE CORP	197533446	Zinc contained in ash is largely contributed from TDF burning in the pollution controlled Cogen boiler.  Ash is properly disposed of in RCRA Landfill.	NO	JLH7@NEWPAGECORP.COM			YES	 	
52627THDLCHWY61	1305203485267	007782505	CHLORINE	TRI	2005	PINNACLE FOODS GROUP LLC FORT MADISON PLANT	2467 HENRY LADYN DR	FORT MADISON	LEE	IA	526271427	YES	NO	NO	NO	2013	2032						311412						40.624398	-91.435743	965953359								PINNACLE FOODS GROUP LLC	965953359	The amount released is "0" for the current year as well as for past and future years. This is a change from previous years' reports due to the new preparer recognizing that past years' reports had fallen under the common errors related to over-estimating chlorine releases related to water treatment.  Waste treatment methods have also been changed to "NA" from past reports for this same reason.	NO				NO	 	
04096WFWYMCOUSI	1305203502644	000091203	NAPHTHALENE	TRI	2005	FPL ENERGY WYMAN LLC WF WYMAN STEAM STATION	677 COUSINS ST	YARMOUTH	CUMBERLAND	ME	04096	YES	NO	NO	NO	4911							221112						43.750616	-70.15584	006948954								NEXTERA ENERGY RESOURCES	006948954	THIS CHEMICAL IS A COMPONENT OF THE FUEL USED TO MAKE ELECTRICITY.	NO	MARK.A.GROVER@FPL.COM			NO	 	
82636NLCCH4900E	1305203476751	000100414	ETHYLBENZENE	TRI	2005	NALCO CO - EVANSVILLE PLANT 108	4900 E YELLOWSTONE HWY	EVANSVILLE	NATRONA	WY	82636	YES	NO	NO	NO	2899							325998						42.85638	-106.24812	102660388								NALCO HOLDING CO	004962403	Note:  This facility's operations are batch.  As such, the production ratio, and emissions, will fluctuate drammatically from year to year.	NO	TLTUCKER@NALCO.COM			NO	 	
82636NLCCH4900E	1305203476813	N982	ZINC COMPOUNDS	TRI	2005	NALCO CO - EVANSVILLE PLANT 108	4900 E YELLOWSTONE HWY	EVANSVILLE	NATRONA	WY	82636	YES	NO	NO	NO	2899							325998						42.85638	-106.24812	102660388								NALCO HOLDING CO	004962403	Note:  This facility's operations are batch.  As such, the production ratio, and emissions, will fluctuate drammatically from year to year.	NO	TLTUCKER@NALCO.COM			YES	 	
53029BRGGS3333W	1305203587365	007440508	COPPER	TRI	2005	STRATTEC SECURITY CORP	3333 W GOOD HOPE RD	GLENDALE	MILWAUKEE	WI	53209	YES	NO	NO	NO	3429							332510						43.148383	-87.952803	879168029										Aluminum substituted for brass in some manufactured components.	NO	STAYLOR@STRATTEC.COM			YES	 	
43103RYNLDREYNO	1305204079267	007439921	LEAD	PBT	2005	ALERIS ROLLED PRODUCTS INC	1 REYNOLDS RD	ASHVILLE	PICKAWAY	OH	43103	YES	NO	NO	NO	3448	3441						332114						39.72616	-82.98458	103532953								ALERIS ROLLED PRODUCTS INC		LEAD COMPOUNDS ARE A SMALL PERCENTAGE CONSTITUENT IN A FEW COATINGS USED AT THE PLANT. IN ADDITION, LEAD IS A COMPONENT IN SOME SOLDERS USED FOR MISC. MAINTENANCE RELATED WORK. USE OF LEAD RESULTS IN 2LBS OF FUGITIVE EMISSIONS.	NO	STEVE.KOZUSKO@ALERIS.COM			YES	 	
83714HWLTT11311	1305205154533	000872504	N-METHYL-2-PYRROLIDONE	TRI	2005	HEWLETT PACKARD CO - BOISE SITE	11311 CHINDEN BLVD	BOISE	ADA	ID	83714	YES	NO	NO	NO	3577													43.661117	-116.320637	072989916										Mallinkrodt-Baker does not have a EPA permit.	NO				NO	 	
62201BGRVRRTE3M	1305203610427	N420	LEAD COMPOUNDS	PBT	2005	BIG RIVER ZINC	2401 MISSISSIPPI AVE	SAUGET	ST CLAIR	IL	62201	YES	NO	NO	NO	3339							331419						38.60157	-90.1726	193002920										The plant ceased operation in january 2006. Therefore, Column C section 8 was estimated at 10% of 2005 values. The plant is expected to re start  in 2007 at an unknown date. Therefore theColumn d section 8 was estimated at 50% of 2005 values.  Big River Zinc has no on site landfills or on site disposal to land. Values reported in section 5 and 8.1a in RY 2004 and previous years were errors.	NO	GOBELDOBEL@BIGRIVERZINC.COM			YES	 	
50703GLTNN4455R	1305204125126	N230	CERTAIN GLYCOL ETHERS	TRI	2005	TWIN CITY TANNING WATERLOO LLC	4455 REMINGTON RD	WATERLOO	BLACK HAWK	IA	50703	YES	NO	NO	NO	3111							316110						42.51648	-92.252598											A. INSTITUTED PROCEDURES AND PROGRAMS PLANT WIDE RELATIVE TO SOURCE REDUCTION CODES W21/W24/W32 AND CORRESPONDING TO METHOD SOURCE REDUCTION CODES T03/T04/T05.  B. MODIFIED EQUIPMENT, LAYOUT, AND PIPING RELATIVE TO SOURCE REDUCTION CODE W52 AND CORRESPONDING TO METHOD SOURCE REDUCTION CODE T04.	NO	J.CRANE@TCHIDE.COM			NO	 	
01201CNNLL545ME	1305204875621	000108883	TOLUENE	TRI	2005	O'CONNELL OIL CO MERRILL ROAD FACILITY	545 MERRILL RD	PITTSFIELD	BERKSHIRE	MA	01202	YES	NO	NO	NO	5171							424710						42.46089	-73.20823									O'CONNELL OIL ASSOCIATES INC		INCREASED OFF SITE RECYCLING DUE TO ETHANOL CONVERSION	NO	JSOBON@OCONNELLOIL.COM			NO	 	
13603FRTDR2NDST	1305204047740	007439921	LEAD	PBT	2005	BLACK RIVER GENERATION LLC	EUPHRATES RIVER VALLEY RD & ONEIDA AVE	FORT DRUM	JEFFERSON	NY	13602	YES	NO	NO	NO	4911							221112						44.036636	-75.769066	169503823								BLACK RIVER ENERGY LLC	361370567	THE BLACK RIVER GNERATION, LLC FACILITY IN 2005 STARTED TO COMBUST TIRE DERIVED FUEL. THE FACILITY ALSO WAS OFF LINE FOR 3 MONTHS DURING THE 2005 REPORTING YEAR. IN PART II SECTION 6.2 THE FACILITY TRANSFERRED EPCRA SECTION 313 CHEMICAL TO OFF SITE LOCATIONS LOCATED IN THE U.S.A.. THESE OFF SITE LOCATIONS DO NOT HAVE AN EPA IDENTIFICATION NUMBER BECAUSE THEY ARE USED FOR AGRICULTURAL PURPOSES.	NO	PPOWERS@PURENERGYLLC.COM			YES	 	
79766PRMNT271WI	1305203592946	001330207	XYLENE (MIXED ISOMERS)	TRI	2005	PERMIAN TANK & MANUFACTURING INC MAIN FACILITY	2701 W I-20	ODESSA	ECTOR	TX	79766	YES	NO	NO	NO	3443							332420						31.815467	-102.394438									PERMIAN TANK & MANUFACTURING INC	020323333	Instituted use of water-reducible coatings during summer months to reduce the amount of xylene and other hazardous chemical releases.	NO	RREYNA@BENTONCONSULTANTS.COM			NO	 	
07728NSTLF61JER	1305205899610	007664417	AMMONIA	TRI	2005	NESTLE USA INC BEVERAGE DIV	61 JERSEYVILLE AVE	FREEHOLD	MONMOUTH	NJ	07728	YES	NO	NO	NO	2095	2099												40.251278	-74.267417									NESTLE USA INC		EXTENDED PREVENTATIVE MAINTENANCE TO MINIMIZE FUGITIVE AND OTHER RELEASES.	NO	LARRY.BRANDLEIN@US.NESTLE.COM			NO	 	
67210BNGCN4615S	1305204030682	N450	MANGANESE COMPOUNDS	TRI	2005	BOEING DEFENSE SPACE & SECURITY WICHITA DIV	4615 S OLIVER	WICHITA	SEDGWICK	KS	67210	YES	NO	NO	NO	3728	3724	3721					336411						37.622101	-97.280631	007237241								THE BOEING CO	009256819	THE BOEING COMPANY DIVESTED MORE THAN 50 PERCENT OF ITS SOURCES TO SPIRIT AEROSYSTEMS IN JUNE, 2005.  THE CONTACT PERSON FOR SPIRIT AEROSYSTEMS IS JOHN HETHERINGTON 316-209-1351.	NO	JARROD.S.BARTLETT@BOEING.COM			YES	 	
69162PRSTL1GREE	1305204214035	N010	ANTIMONY COMPOUNDS	TRI	2005	ADC TELECOMMUNICATIONS INC	1 GREENWOOD RD	SIDNEY	CHEYENNE	NE	691620259	YES	NO	NO	NO	3357							335929						41.147778	-102.953853	147150643								TYCO ELECTRONICS CORP	003012549	As we decrease the amount of lead in our compounds, the amount of antimony increases.	NO	TIM.RYDER@ADC.COM			YES	 	
45050FTPRD300LA	1305203609918	N420	LEAD COMPOUNDS	PBT	2005	GLASS COATINGS & CONCEPTS	300 LAWTON AVE	MONROE	BUTLER	OH	45050	YES	NO	NO	NO	3299							327212						39.446259	-84.346194	133104492										Glass Coatings & Concepts removed Pb from all processes July 1, 2005.  Remaining inventory of Pb material was sent off site and disposed of as hazardous waste in December of 2005.	NO	JNIXON@GCCONCEPTS.COM			YES	 	
